transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0x1e1deb92046b7e8643c1cf93c394a969687487de4f7e7f3a831257f749c6d9d6,66,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,16883906,48824,,,1,9894280658,,,,
0xe464a0c187677c3a4947a9ae9715f6b92929c2fbb595644d3775585c9407e47d,67,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,17390830,506924,,,1,9894280658,,,,
0x928f27ce73871a0b1cf16f8dd23fc3fc1b31f05f6c170623ac7e8e34e8f18321,68,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,17525113,134283,,,1,9894280658,,,,
0x8ee2157231e33fb664615dab29c2f3fcb790e8be1c8a0384c7f28eb8ca2545c9,69,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,17573937,48824,,,1,9894280658,,,,
0xa071d4121d51924536fbada97ae9944e985db9aecd2eb4c3c9658c0fb5c44ad2,70,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,17622761,48824,,,1,9894280658,,,,
0xb23ff4d2feee756f55ddbd62195768e37ea6d1a1e927c0eda7eef7fdc1fdca69,71,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,17652171,29410,,,1,9894280658,,,,
0xc3322ca5f462eda30291c32789c4aeba3cb99d4cd6d78284407360831ba9e7da,72,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,17948483,296312,,,1,9894280658,,,,
0x90360a56cd5e272c6d5e933bcc8bd73af6a238b04c2d33d1076c8c76dea53b5e,73,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,18552171,603688,,,1,9894280658,,,,
0x0283b32591bb4886e680d0ad00418cda21f4845b50be05427b0ec44e2a4533aa,74,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,18600995,48824,,,1,9894280658,,,,
0x41ddd25b7739a40ef862a1a6f48120dd1610cc8d1ca9019519e39addd947154a,75,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,18649819,48824,,,1,9894280658,,,,
0x7ea5bb6a7dd11917a54ddbb29de127f2cd111f032fb4d035af44697443eb413c,76,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,19608732,958913,,,1,9894280658,,,,
0xd7232fb0f5f5e8e590b2ad5e66d81802f19d6ddc077970fdcdc9e9d068e5c755,77,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,19748395,139663,,,1,9894280658,,,,
